start,duration,depth,peak,end,td.max.lf,td.min.lf,td.mean.lf,td.min.lf,td.mean.lf,td.max.lf
1902-07-17 08:00:00,4,0.14,0.07,1902-07-17 12:00:00,-0.279374138,-0.400917765,-0.3339497576,-0.400917765,-0.3339497576,-0.279374138
1902-07-21 02:00:00,2,0.1,0.06,1902-07-21 04:00:00,-0.336680519,-0.354093751,-0.345708832333333,-0.354093751,-0.345708832333333,-0.336680519
1902-07-21 20:00:00,3,0.44,0.43,1902-07-21 23:00:00,-0.117356239,-0.135246667,-0.125770698,-0.135246667,-0.125770698,-0.117356239
1902-07-25 08:00:00,8,1.35,0.94,1902-07-25 16:00:00,0.526255702,0.505245737,0.519392287222222,0.505245737,0.519392287222222,0.526255702
1902-07-30 12:00:00,5,0.4,0.16,1902-07-30 17:00:00,0.043442647,-0.049056402,-0.00429919233333333,-0.049056402,-0.00429919233333333,0.043442647
1902-08-06 02:00:00,3,0.37,0.35,1902-08-06 05:00:00,0.729192432,0.713566266,0.722714908,0.713566266,0.722714908,0.729192432
1902-08-06 16:00:00,4,0.47,0.43,1902-08-06 20:00:00,0.550645115,0.417799698,0.485418219,0.417799698,0.485418219,0.550645115
1902-08-10 09:00:00,14,1.14,0.32,1902-08-10 23:00:00,0.58777242,0.218123245,0.419450363866667,0.218123245,0.419450363866667,0.58777242
1902-08-11 18:00:00,1,0.2,0.2,1902-08-11 19:00:00,0.094698268,0.047476957,0.0710876125,0.047476957,0.0710876125,0.094698268
1902-09-04 14:00:00,1,0.34,0.34,1902-09-04 15:00:00,0.024367457,-0.036726391,-0.006179467,-0.036726391,-0.006179467,0.024367457
1902-09-07 07:00:00,4,0.16,0.1,1902-09-07 11:00:00,-0.090606078,-0.108769093,-0.0987285528,-0.108769093,-0.0987285528,-0.090606078
1902-09-09 06:00:00,16,0.89,0.21,1902-09-09 22:00:00,0.516600025,0.028307634,0.374283449823529,0.028307634,0.374283449823529,0.516600025
1902-09-22 01:00:00,8,0.2,0.06,1902-09-22 09:00:00,0.151056706,0.121752111,0.141388106333333,0.121752111,0.141388106333333,0.151056706
1902-09-24 23:00:00,7,0.25,0.15,1902-09-25 06:00:00,-0.03002924,-0.257646252,-0.155583419875,-0.257646252,-0.155583419875,-0.03002924
1902-09-25 13:00:00,31,2.74,0.34,1902-09-26 20:00:00,0.880301603,0.268207398,0.547342284125,0.268207398,0.547342284125,0.880301603
1902-09-30 20:00:00,17,1.86,0.54,1902-10-01 13:00:00,2.296703314,2.012170927,2.20810522905556,2.012170927,2.20810522905556,2.296703314
1902-10-04 14:00:00,36,1.93,0.48,1902-10-06 02:00:00,1.798391702,0.85571045,1.37116695,0.85571045,1.37116695,1.798391702
1902-10-11 11:00:00,23,1.53,0.28,1902-10-12 10:00:00,0.196952013,0.071113373,0.131956064041667,0.071113373,0.131956064041667,0.196952013
1902-10-17 09:00:00,2,0.11,0.09,1902-10-17 11:00:00,0.120676611,0.06780235,0.0942012303333333,0.06780235,0.0942012303333333,0.120676611
1902-10-27 21:00:00,12,1.3,0.49,1902-10-28 09:00:00,0.329704363,0.003440361,0.149945165461538,0.003440361,0.149945165461538,0.329704363
1902-11-06 21:00:00,9,0.23,0.07,1902-11-07 06:00:00,-0.027115726,-0.296403813,-0.148678415,-0.296403813,-0.148678415,-0.027115726
1902-11-24 18:00:00,50,1.19,0.09,1902-11-26 20:00:00,1.028144722,-1.068460014,-0.186237898666667,-1.068460014,-0.186237898666667,1.028144722
1902-11-30 12:00:00,13,0.56,0.1,1902-12-01 01:00:00,-0.832978257,-0.912671885,-0.881911915214286,-0.912671885,-0.881911915214286,-0.832978257
1902-12-02 20:00:00,7,0.94,0.27,1902-12-03 03:00:00,-0.079397151,-0.462336985,-0.27840940175,-0.462336985,-0.27840940175,-0.079397151
1902-12-04 22:00:00,17,0.68,0.05,1902-12-05 15:00:00,-0.423132231,-0.436972101,-0.434273822666667,-0.436972101,-0.434273822666667,-0.423132231
1902-12-11 18:00:00,5,0.12,0.06,1902-12-11 23:00:00,-1.338297993,-1.65370413,-1.50016656916667,-1.65370413,-1.50016656916667,-1.338297993
1902-12-12 18:00:00,33,0.72,0.04,1902-12-14 03:00:00,0.46029599,-0.418259507,0.153374048,-0.418259507,0.153374048,0.46029599
1902-12-15 21:00:00,31,1.27,0.07,1902-12-17 04:00:00,1.24978202,0.007359203,0.6507260236875,0.007359203,0.6507260236875,1.24978202
1902-12-21 01:00:00,25,2.03,0.53,1902-12-22 02:00:00,1.481374749,0.161241866,0.897077820692308,0.161241866,0.897077820692308,1.481374749
1902-12-25 02:00:00,7,0.22,0.04,1902-12-25 09:00:00,1.449541061,1.302563019,1.393898411,1.302563019,1.393898411,1.449541061
1902-12-29 11:00:00,10,0.45,0.1,1902-12-29 21:00:00,-0.092647803,-0.187848636,-0.120324407727273,-0.187848636,-0.120324407727273,-0.092647803
1903-01-02 19:00:00,18,1.17,0.29,1903-01-03 13:00:00,NA,NA,NA,NA,NA,NA
