"start","duration","depth","peak","end","td.min.hf","td.mean.hf","td.max.hf"
1905-09-02 14:00:00,26,1.44,0.38,1905-09-03 16:00:00,-2.654,0.603666666666667,3.743
1905-09-04 03:00:00,4,1.1,0.58,1905-09-04 07:00:00,0.643,1.765,2.546
1905-09-11 11:00:00,16,0.76,0.15,1905-09-12 03:00:00,-2.054,0.903470588235294,3.543
1905-09-18 02:00:00,8,0.34,0.17,1905-09-18 10:00:00,-1.657,0.533222222222222,2.146
1905-10-03 00:00:00,5,0.66,0.48,1905-10-03 05:00:00,-2.956,-0.0216666666666667,2.346
1905-10-11 16:00:00,6,0.92,0.43,1905-10-11 22:00:00,-0.554,0.545285714285714,1.844
1905-10-19 16:00:00,24,2.1,0.8,1905-10-20 16:00:00,-3.156,-0.69136,1.644
1905-10-25 09:00:00,19,0.38,0.06,1905-10-26 04:00:00,-3.356,-0.3704,1.946
1905-11-06 02:00:00,7,0.1,0.02,1905-11-06 09:00:00,-2.854,-1.03075,1.545
1905-11-24 22:00:00,2,0.12,0.09,1905-11-25 00:00:00,-0.056,0.844333333333333,1.644
1905-11-28 15:00:00,30,1.34,0.17,1905-11-29 21:00:00,-3.156,0.0410645161290323,2.844
1905-12-02 22:00:00,15,0.72,0.23,1905-12-03 13:00:00,-3.255,-0.9988125,1.444
1905-12-09 17:00:00,15,0.44,0.06,1905-12-10 08:00:00,-2.956,-0.761375,1.745
1905-12-15 12:00:00,8,0.26,0.04,1905-12-15 20:00:00,-1.457,0.567,2.146
1905-12-20 22:00:00,11,1,0.15,1905-12-21 09:00:00,-2.956,-0.156333333333333,3.343
1905-12-29 00:00:00,4,0.56,0.27,1905-12-29 04:00:00,-2.654,-0.0558,2.044
